alpha,area_under_train_loss_curve,area_under_val_loss_curve,best_epoch,best_val_loss,dataset,ensemble_size,fidelity_final,fidelity_initial,final_test_accuracy,final_test_cross_entropy,final_test_explained_variance,final_test_macro_f1,final_test_mae,final_test_mse,final_test_precision_macro,final_test_r2,final_test_recall_macro,init_seed,initial_test_accuracy,initial_test_cross_entropy,initial_test_explained_variance,initial_test_macro_f1,initial_test_mae,initial_test_mse,initial_test_precision_macro,initial_test_r2,initial_test_recall_macro,initial_train_loss,initial_val_loss,model_name,setting,split_seed,task,training_time_total
10.0,24.015970081090927,22.057848066091537,49,0.42803317308425903,diabetes,1,1058.9812053868923,1124.5042117801431,,,0.32938632249514566,,46.199522554204705,3447.5748751624697,,0.32768644027380955,,0,,,0.31921865532057647,,47.282260937637155,3502.260335221007,,0.3170221972483446,,0.49856600165367126,0.45783936977386475,path_expansion,single_tree,0,regression,0.1764228750000001
20.0,21.160822302103043,19.144849598407745,49,0.3814399242401123,diabetes,1,735.9412341523646,747.4122815564847,,,0.3225483832043248,,46.83150379309493,3476.6366875244344,,0.3220190795264244,,0,,,0.32535906421018024,,47.05175292625856,3459.830299903205,,0.32529650284481837,,0.4303615391254425,0.38495466113090515,path_expansion,single_tree,0,regression,0.18307029099999994
50.0,19.18942740559578,15.905802249908447,0,0.31687361001968384,diabetes,1,354.49232469025577,353.82189865263643,,,0.25294470706697514,,49.63851907280054,3831.415983028158,,0.25283336501282216,,0,,,0.2571504814775435,,49.62030882246039,3809.3170482365945,,0.2571428909995994,,0.3865022659301758,0.3168677091598511,path_expansion,single_tree,0,regression,0.1888145830000001
100.0,18.14638864994049,13.958465188741684,0,0.2775658369064331,diabetes,1,196.09787921350818,193.21828351479527,,,0.18449567857510063,,51.39880195360505,4182.722017568954,,0.18432497311769802,,0,,,0.18678013561781537,,51.375512498148375,4170.645519832335,,0.18668001788868316,,0.36484384536743164,0.2775132954120636,path_expansion,single_tree,0,regression,0.18799183299999989
,49.70489698648453,46.80388951301575,49,0.8417401909828186,diabetes,1,2878.4581041453816,3579.90991685227,,,0.054186147675416296,,58.315265441208744,4879.4460784769935,,0.048456413188627034,,0,,,-0.007486428774444498,,63.160093328926,5639.881942828099,,-0.0998366221820004,,1.075873851776123,1.066191554069519,mlp,single_tree,0,regression,0.14654991700000064
,,,,,diabetes,0,,,,,0.25459485471843624,,48.87396889188112,3826.511041682936,,0.2537898804462684,,0,,,0.25459485471843624,,48.87396889188112,3826.511041682936,,0.2537898804462684,,,,source_tree,ensemble_10,0,regression,0.0
0.5,50.000336050987244,44.25976872444153,0,0.8851953744888306,diabetes,10,2888.9772548346964,2888.9772548346964,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,0,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,1.000048279762268,0.8851953744888306,coexplain_soft,ensemble_10,0,regression,1.314077750000001
1.0,50.0013085603714,44.25976872444153,0,0.8851953744888306,diabetes,10,2888.9772548346964,2888.9772548346964,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,0,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,1.0000956058502197,0.8851953744888306,coexplain_soft,ensemble_10,0,regression,1.3916447919999992
2.0,50.00476098060608,44.25976872444153,0,0.8851953744888306,diabetes,10,2888.9772548346964,2888.9772548346964,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,0,,,2.220446049250313e-16,,59.477368987008425,5128.239479453377,,-6.093106163662654e-05,,1.0001847743988037,0.8851953744888306,coexplain_soft,ensemble_10,0,regression,1.4492212909999989
5.0,48.44281220436096,43.206839978694916,49,0.8493251800537109,diabetes,10,2718.550687837662,2841.8438150803554,,,0.030315841388140474,,58.491171676121404,4972.818342404354,,0.030247834284959696,,0,,,0.007936881463596501,,59.210000370325666,5087.272379454429,,0.007928086676709856,,0.9830986857414246,0.8739216923713684,coexplain_soft,ensemble_10,0,regression,1.63652875
